year,title,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15
2014,Blind Deconvolution.,Tom E. Bishop,Paolo Favaro,,,,,,,,,,,,,
2014,Geometric Calibration.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Digitization.,Peer Stelldinger,Longin Jan Latecki,,,,,,,,,,,,,
2014,Computational Symmetry.,Yanxi Liu 0001,,,,,,,,,,,,,,
2014,Affine Invariants.,Michael Werman,,,,,,,,,,,,,,
2014,Lens Flare and Lens Glare.,Dikpal Reddy,Ashok Veeraraghavan,,,,,,,,,,,,,
2014,High-Performance Computing in Computer Vision.,Guna Seetharaman,,,,,,,,,,,,,,
2014,Compressive Sensing.,Aswin C. Sankaranarayanan,Richard G. Baraniuk,,,,,,,,,,,,,
2014,Shape from Shadows.,Pascal Mamassian,,,,,,,,,,,,,,
2014,Affine Registration.,Kevin Köser,,,,,,,,,,,,,,
2014,Many-to-Many Graph Matching.,M. Fatih Demirci,Ali Shokoufandeh,Sven J. Dickinson,,,,,,,,,,,,
2014,Calibration of Radiometric Falloff (Vignetting).,Stephen Lin 0001,,,,,,,,,,,,,,
2014,Transparent Layers.,Yanghai Tsin,,,,,,,,,,,,,,
2014,Expectation Maximization Algorithm.,Boris Flach,Václav Hlavác,,,,,,,,,,,,,
2014,Matte Extraction.,Jiaya Jia,,,,,,,,,,,,,,
2014,Rigid Registration.,Yonghuai Liu,Ralph R. Martin,Liang Chen 0012,Xuejun Ren,Longzhuang Li,,,,,,,,,,
2014,Data Augmentation.,Ying Nian Wu,,,,,,,,,,,,,,
2014,Camera Extrinsic Parameters.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Geons.,Sven J. Dickinson,Irving Biederman,,,,,,,,,,,,,
2014,Shape from Scatter.,Mohit Gupta 0001,,,,,,,,,,,,,,
2014,Cook-Torrance Model.,Abhijeet Ghosh,,,,,,,,,,,,,,
2014,Dynamic Programming.,Boris Flach,Václav Hlavác,,,,,,,,,,,,,
2014,Camera Calibration.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Algebraic Surface.,Bo Zheng,,,,,,,,,,,,,,
2014,Visual Cortex Models for Object Recognition.,Tomaso A. Poggio,Shimon Ullman,,,,,,,,,,,,,
2014,Projection.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Appearance-Based Human Tracking.,Bohyung Han,,,,,,,,,,,,,,
2014,Appearance-Based Human Detection.,William Robson Schwartz,,,,,,,,,,,,,,
2014,Image Stitching.,Matthew Brown 0001,,,,,,,,,,,,,,
2014,Wide Baseline Matching.,Tinne Tuytelaars,,,,,,,,,,,,,,
2014,Video Retrieval.,Cees G. M. Snoek,Arnold W. M. Smeulders,,,,,,,,,,,,,
2014,Ellipse Fitting.,Zhi-Yong Liu 0001,,,,,,,,,,,,,,
2014,Epipolar Geometry.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Numerical Methods in Curve Evolution Theory.,Peter Karasev,Ivan Kolesov,Allen R. Tannenbaum,,,,,,,,,,,,
2014,Essential Matrix.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Optimal Estimation.,Kenichi Kanatani,,,,,,,,,,,,,,
2014,Curves in Euclidean Three-Space.,Jan J. Koenderink,,,,,,,,,,,,,,
2014,Asperity Scattering.,Sylvia C. Pont,,,,,,,,,,,,,,
2014,Eight-Point Algorithm.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Parametric Surface.,Bo Zheng,,,,,,,,,,,,,,
2014,Depth Distortion.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Phong Reflectance Model.,Ping Tan,,,,,,,,,,,,,,
2014,Camera Model.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Denoising.,Francisco J. Estrada,,,,,,,,,,,,,,
2014,Human Pose Estimation.,Leonid Sigal,,,,,,,,,,,,,,
2014,Omnidirectional Vision.,Peter F. Sturm,,,,,,,,,,,,,,
2014,Variational Analysis.,Bastian Goldluecke,,,,,,,,,,,,,,
2014,Fresnel Equations.,Daisuke Miyazaki,,,,,,,,,,,,,,
2014,Standard Illuminants.,Rajeev Ramanath,Mark S. Drew,,,,,,,,,,,,,
2014,Edge Detection.,James H. Elder,,,,,,,,,,,,,,
2014,Data Fusion.,Ramanarayanan Viswanathan 0002,,,,,,,,,,,,,,
2014,Occlusion Detection.,Rodrigo Benenson,,,,,,,,,,,,,,
2014,AdaBoost.,Paolo Favaro,Andrea Vedaldi,,,,,,,,,,,,,
2014,Eigenspace Methods.,Tomokazu Takahashi,Hiroshi Murase,,,,,,,,,,,,,
2014,Calibration.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Interreflections.,Michael S. Langer,,,,,,,,,,,,,,
2014,Diffuse Reflectance.,Sanjeev J. Koppal,,,,,,,,,,,,,,
2014,Projection Transformation.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Swendsen-Wang Algorithm.,Adrian Barbu,,,,,,,,,,,,,,
2014,Parametric Curve.,Bo Zheng,,,,,,,,,,,,,,
2014,Situation Graph Trees.,Christian Micheloni,Gian Luca Foresti,,,,,,,,,,,,,
2014,Change Detection.,Joseph L. Mundy,,,,,,,,,,,,,,
2014,Diffusion Filtering.,Thomas Brox,,,,,,,,,,,,,,
2014,White Balance.,Rajeev Ramanath,Mark S. Drew,,,,,,,,,,,,,
2014,Epipolar Constraint.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Oren-Nayar Reflectance Model.,Ping Tan,,,,,,,,,,,,,,
2014,Optical Flow.,Thomas Brox,,,,,,,,,,,,,,
2014,Visual Hull.,David C. Schneider,,,,,,,,,,,,,,
2014,Dichromatic Reflection Model.,Shoji Tominaga,,,,,,,,,,,,,,
2014,Interactive Segmentation.,Yuri Boykov,,,,,,,,,,,,,,
2014,Generic Object Recognition.,Svetlana Lazebnik,,,,,,,,,,,,,,
2014,Perspective Camera.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Plane Sweeping.,David Gallup,Marc Pollefeys,,,,,,,,,,,,,
2014,Splines.,Bo Zheng,,,,,,,,,,,,,,
2014,Isotropic Differential Geometry in Graph Spaces.,Jan J. Koenderink,,,,,,,,,,,,,,
2014,Irradiance.,Fabian Langguth,Michael Goesele,,,,,,,,,,,,,
2014,Lumigraph.,Michael F. Cohen,Richard Szeliski,,,,,,,,,,,,,
2014,Defocus Blur.,Neel Joshi,,,,,,,,,,,,,,
2014,Penumbra and Umbra.,Rajeev Ramanath,Mark S. Drew,,,,,,,,,,,,,
2014,Pinhole Camera Model.,Peter F. Sturm,,,,,,,,,,,,,,
2014,Subpixel Estimation.,Robert B. Fisher,,,,,,,,,,,,,,
2014,Three Dimensional Shape Descriptor.,Federico Tombari,,,,,,,,,,,,,,
2014,Evolution of Robotic Heads.,Michael R. M. Jenkin,,,,,,,,,,,,,,
2014,Kalman Filter.,Gregory F. Welch,,,,,,,,,,,,,,
2014,Semidefinite Programming.,Chunhua Shen,Anton van den Hengel,,,,,,,,,,,,,
2014,Retinex Theory.,Micah K. Johnson,,,,,,,,,,,,,,
2014,Dehazing and Defogging.,Robby T. Tan,,,,,,,,,,,,,,
2014,Geometric Algebra.,Leo Dorst,,,,,,,,,,,,,,
2014,Obstacle Detection.,Larry H. Matthies,,,,,,,,,,,,,,
2014,Spatiotemporal Reasoning.,David Young,,,,,,,,,,,,,,
2014,Algebraic Curve.,Bo Zheng,,,,,,,,,,,,,,
2014,Retroreflection.,Sylvia C. Pont,,,,,,,,,,,,,,
2014,Center of Projection.,Srikumar Ramalingam,,,,,,,,,,,,,,
2014,Fisher-Rao Metric.,Stephen J. Maybank,,,,,,,,,,,,,,
2014,Inverse Compositional Algorithm.,Simon Baker,,,,,,,,,,,,,,
2014,Sensor Fusion.,Pramod K. Varshney,,,,,,,,,,,,,,
2014,Multiview Stereo.,Sudipta N. Sinha,,,,,,,,,,,,,,
2014,Focal Length.,Peter F. Sturm,,,,,,,,,,,,,,
2014,Polarizer.,Daisuke Miyazaki,,,,,,,,,,,,,,
2014,Multi-baseline Stereo.,David Gallup,,,,,,,,,,,,,,
2014,Three Dimensional View Integration.,Denis Laurendeau,,,,,,,,,,,,,,
2014,Photo-Consistency.,Yasutaka Furukawa,,,,,,,,,,,,,,
2014,Reference Plane.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Activity Recognition.,Wanqing Li 0001,Zicheng Liu 0001,Zhengyou Zhang,,,,,,,,,,,,
2014,Underwater Effects.,Frank M. Caimi,,,,,,,,,,,,,,
2014,Variational Method.,Bastian Goldluecke,,,,,,,,,,,,,,
2014,Weakly Supervised Learning.,Lorenzo Torresani,,,,,,,,,,,,,,
2014,Radiometric Response Function.,Yasuyuki Matsushita,,,,,,,,,,,,,,
2014,Multiplexed Illumination.,Marina Alterman,,,,,,,,,,,,,,
2014,Descattering.,Tali Treibitz,,,,,,,,,,,,,,
2014,Motion Capture.,Nils Hasler,,,,,,,,,,,,,,
2014,Active Stereo Vision.,Andrew Hogue,Michael R. M. Jenkin,,,,,,,,,,,,,
2014,Omnidirectional Camera.,Davide Scaramuzza 0001,,,,,,,,,,,,,,
2014,Robust Methods.,Peter Meer,Sushil Mittal,,,,,,,,,,,,,
2014,Plenoptic Function.,Shing-Chow Chan,,,,,,,,,,,,,,
2014,Incident Light Measurement.,Stephen Lin 0001,,,,,,,,,,,,,,
2014,Camera Pose.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Image-Based Rendering.,Shing-Chow Chan,,,,,,,,,,,,,,
2014,Linguistic Techniques for Event Recognition.,Vlad I. Morariu,,,,,,,,,,,,,,
2014,Face Modeling.,Zicheng Liu 0001,Zhengyou Zhang,,,,,,,,,,,,,
2014,View and Rate-Invariant Human Action Recognition.,Vasu Parameswaran,Ashok Veeraraghavan,,,,,,,,,,,,,
2014,Color Similarity.,Takahiko Horiuchi,Shoji Tominaga,,,,,,,,,,,,,
2014,Hand-Eye Calibration.,Songde Ma,Zhanyi Hu,,,,,,,,,,,,,
2014,Blackbody Radiation.,Rajeev Ramanath,Mark S. Drew,,,,,,,,,,,,,
2014,Active Sensor (Eye) Movement Control.,James J. Clark,,,,,,,,,,,,,,
2014,Curvature.,Takayuki Okatani,,,,,,,,,,,,,,
2014,Photogrammetry.,Konrad Schindler,Wolfgang Förstner,,,,,,,,,,,,,
2014,Viscosity Solution.,Fabio Camilli,Emmanuel Prados,,,,,,,,,,,,,
2014,Total Variation.,Bastian Goldluecke,,,,,,,,,,,,,,
2014,von Kries Hypothesis.,Rajeev Ramanath,Mark S. Drew,,,,,,,,,,,,,
2014,Stochastic Partial Differential Equations.,Annika Lang,,,,,,,,,,,,,,
2014,Gradient Vector Flow.,Chenyang Xu 0001,Jerry L. Prince,,,,,,,,,,,,,
2014,Rationale for Computational Vision.,Ruzena Bajcsy,,,,,,,,,,,,,,
2014,Radiometric Calibration.,Yasuyuki Matsushita,,,,,,,,,,,,,,
2014,Pan-Tilt-Zoom (PTZ) Camera.,Sudipta N. Sinha,,,,,,,,,,,,,,
2014,Extended Gaussian Image (EGI).,Sing Bing Kang,Berthold K. P. Horn,,,,,,,,,,,,,
2014,Opacity.,Ivo Ihrke,,,,,,,,,,,,,,
2014,Calibration of Projective Cameras.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Animat Vision.,Dana H. Ballard,,,,,,,,,,,,,,
2014,Object Class Recognition (Categorization).,Svetlana Lazebnik,,,,,,,,,,,,,,
2014,Color Constancy.,Marc Ebner,,,,,,,,,,,,,,
2014,Prototype-Based Methods for Human Movement Modeling.,Zhe Lin 0001,Zhuolin Jiang,Larry S. Davis,,,,,,,,,,,,
2014,Polarization.,Gary A. Atkinson,,,,,,,,,,,,,,
2014,Optical Axis.,Peter F. Sturm,,,,,,,,,,,,,,
2014,Principal Component Analysis (PCA).,Takio Kurita,,,,,,,,,,,,,,
2014,Reflectance Map.,Robert J. Woodham,,,,,,,,,,,,,,
2014,Feature Selection.,Rama Chellappa,Pavan K. Turaga,,,,,,,,,,,,,
2014,Trichromatic Theory.,Michael H. Brill,,,,,,,,,,,,,,
2014,Weak Perspective Projection.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,"Lens Distortion, Radial Distortion.",Visesh Chari,Ashok Veeraraghavan,,,,,,,,,,,,,
2014,Affine Camera.,Zhengyou Zhang,,,,,,,,,,,,,,
2014,Differential Invariants.,Isaac Weiss,,,,,,,,,,,,,,
2014,"Illumination Estimation, Illuminant Estimation.",Stephen Lin 0001,,,,,,,,,,,,,,
2014,Chromaticity.,Michael H. Brill,,,,,,,,,,,,,,
2014,Calibration of Multi-camera Setups.,Jun-Sik Kim 0001,,,,,,,,,,,,,,
2014,Population Encoding/Decoding.,Wilson Truccolo,,,,,,,,,,,,,,
2014,Vestibular Eye Movement Testing.,Ian S. Curthoys,Hamish G. MacDougall,,,,,,,,,,,,,
2014,"Vestibular Prosthesis, Interface.",Chenkai Dai,Charles C. Della Santina,,,,,,,,,,,,,
2014,Anatomy and Physiology of the Mammalian Auditory System.,Manuel S. Malmierca,,,,,,,,,,,,,,
2014,"Signaling Pathways, Modeling of.",Jeanette Hellgren Kotaleski,,,,,,,,,,,,,,
2014,BrainInfo.,Douglas M. Bowden,,,,,,,,,,,,,,
2014,Biophysics of Adaptation in a Computational Model of the Leech T Neuron.,Raúl Guantes,Sara Arganda,Gonzalo G. de Polavieja,,,,,,,,,,,,
2014,Physiome Repository.,Tommy Yu,Randall D. Britten,David P. Nickerson,Peter J. Hunter,Poul M. F. Nielsen,,,,,,,,,,
2014,Synthetic Neuronal Morphology.,Benjamin Torben-Nielsen,,,,,,,,,,,,,,
2014,Multistability Arising from Synaptic Dynamics.,Amitabha Bose,Farzan Nadim,,,,,,,,,,,,,
2014,Central Vestibular Signal Processing.,Rebecca Lim,Thomas P. Wellings,Alan M. Brichta,,,,,,,,,,,,
2014,Metabotropic Receptors (G Protein-Coupled Receptors).,Tamara Kinzer-Ursem,,,,,,,,,,,,,,
2014,Amari Model.,Roland Potthast,,,,,,,,,,,,,,
2014,Retinal Neurophysiology.,John W. Morley,Morven A. Cameron,,,,,,,,,,,,,
2014,Brain Ischemia and Stroke.,Samuel A. Neymotin,Zachary Taxin,Ashutosh Mohan,Peter Lipton,,,,,,,,,,,
2014,Invertebrate Pattern Generation: Overview.,Farzan Nadim,,,,,,,,,,,,,,
2014,Local Field Potentials (LFP).,Alain Destexhe,Claude Bédard,,,,,,,,,,,,,
2014,"Electrophysiology Analysis, Bayesian.",Jakob H. Macke,,,,,,,,,,,,,,
2014,Jansen-Rit Model.,Thomas R. Knösche,,,,,,,,,,,,,,
2014,Local Field Potential and Deep Brain Stimulation (DBS).,Manuela Rosa,Sara Marceglia,Sergio Barbieri,Alberto Priori,,,,,,,,,,,
2014,Connectivity Analysis in Normal and Pathological Brains.,Claus C. Hilgetag,,,,,,,,,,,,,,
2014,Significance Evaluation.,Matthew T. Harrison,,,,,,,,,,,,,,
2014,NeuroML.,Sharon M. Crook,Padraig Gleeson,Robert C. Cannon,Michael Vella,Angus Silver,,,,,,,,,,
2014,Tactile Sensing in Insects.,Volker Dürr,André Frank Krause,,,,,,,,,,,,,
2014,Predictive Coding.,Michael W. Spratling,,,,,,,,,,,,,,
2014,Spinal Stimulation for Parkinson Treatment.,Romulo Fuentes,,,,,,,,,,,,,,
2014,Q10: The Effect of Temperature on Ion Channel Kinetics.,David C. Sterratt,,,,,,,,,,,,,,
2014,Hebbian Learning.,Yoonsuck Choe,,,,,,,,,,,,,,
2014,Digital Filtering.,Roemer van der Meij,Jan-Mathijs Schoffelen,,,,,,,,,,,,,
2014,Voltage-Clamp Technique.,Thomas Nowotny,Rafael Levi,,,,,,,,,,,,,
2014,Nernst-Planck Equation.,Reinoud Maex,,,,,,,,,,,,,,
2014,Neuromorphic Engineering: Overview.,Sylvie Renaud,,,,,,,,,,,,,,
2014,"Bifurcations, Neural Population Models and.",Thomas R. Knösche,,,,,,,,,,,,,,
2014,Functional Neuroscience: Cortical Control of Limb Prosthesis.,Amy L. Orsborn,Jose M. Carmena,,,,,,,,,,,,,
2014,Accumulation of Evidence in Decision Making.,Alexander C. Huk,Leor N. Katz,Jacob L. Yates,,,,,,,,,,,,
2014,Synaptic Connectivity in Neural Population Models.,Viktor K. Jirsa,,,,,,,,,,,,,,
2014,Cable Equation.,William R. Holmes,,,,,,,,,,,,,,
2014,"Visual Prosthesis, Epiretinal Devices.",James D. Weiland,,,,,,,,,,,,,,
2014,"Brainstem Motoneurons, Models of.",Marc D. Binder,,,,,,,,,,,,,,
2014,Stability and Homeostasis in Small Network Central Pattern Generators.,Jorge Golowasch,,,,,,,,,,,,,,
2014,Functional Network Observations of Diseased Brain States.,Grant M. Fiddyment,Stefania Sokolowski,Mark Kramer,,,,,,,,,,,,
2014,Computational Model-Based Development of Novel Stimulation Algorithms.,Oleksandr V. Popovych,Peter Alexander Tass,,,,,,,,,,,,,
2014,Pain Processing Pathway Models.,Steven A. Prescott,,,,,,,,,,,,,,
2014,Multiscale Brain Connectivity.,Tristan T. Nakagawa,Gustavo Deco,,,,,,,,,,,,,
2014,Epilepsy: Abnormal Ion Channels.,Tara Klassen,,,,,,,,,,,,,,
2014,Computation with Serotonergic Modulation.,Matthew Lewis,,,,,,,,,,,,,,
2014,High-Voltage-Activated Calcium Channels.,Sergio M. G. Solinas,Stefano Masoli,Sathyaa Subramaniyam,,,,,,,,,,,,
2014,"Neuropharmacological Modeling, Pharmacogenomics and Ion Channel Modulation.",Tara Klassen,Tim T. Chen,,,,,,,,,,,,,
2014,Computational Models of Deep Brain Stimulation (DBS).,Jonathan Rubin,Cameron C. McIntyre,,,,,,,,,,,,,
2014,"Sleep, Neural Population Models of.",Andrew J. K. Phillips,,,,,,,,,,,,,,
2014,Visual Motion Detection in Drosophila.,Alexander Borst,,,,,,,,,,,,,,
2014,General Overview of Spinal Anatomy and Physiology Organization.,Marion Murray,,,,,,,,,,,,,,
2014,Optic Flow Processing.,Holger G. Krapp,,,,,,,,,,,,,,
2014,"Epilepsy, Neural Population Models of.",Fabrice Wendling,Behnam Molaee-Ardekani,,,,,,,,,,,,,
2014,Neural Decoding.,Islam S. Badreldin,Karim G. Oweiss,,,,,,,,,,,,,
2014,"Visual Prosthesis, Suprachoroidal, and Trans-retinal Devices.",Gregg J. Suaning,,,,,,,,,,,,,,
2014,Finite Element Modeling of Electrical Stimulation Using Microelectrodes.,Sébastien Joucla,Blaise Yvert,,,,,,,,,,,,,
2014,"Retinal/Visual Interfaces (Models, Theory, Techniques): Overview.",Nigel H. Lovell,,,,,,,,,,,,,,
2014,Somatosensory Prosthesis.,Sliman J. Bensmaia,,,,,,,,,,,,,,
2014,Spike Train Analysis: Overview.,Sonja Grün,,,,,,,,,,,,,,
2014,"Calcium Release, Models of.",Geneviève Dupont,,,,,,,,,,,,,,
2014,"Local Field Potential, Relationship to Unit Activity.",Bartosz Telenczuk,Alain Destexhe,,,,,,,,,,,,,
2014,Current Source Density (CSD) Analysis.,Daniel K. Wójcik,,,,,,,,,,,,,,
2014,Surrogate Data for Evaluation of Spike Correlation.,Sonja Grün,,,,,,,,,,,,,,
2014,Dynamical Systems: Overview.,Alla Borisyuk,,,,,,,,,,,,,,
2014,Multistability: Stopping Events with Single Pulses.,Ivan Osorio,,,,,,,,,,,,,,
2014,Neuronal Population Vector.,Margaret Y. Mahan,Apostolos P. Georgopoulos,,,,,,,,,,,,,
2014,Modeling of Enzyme Kinetics.,Kim T. Blackwell,,,,,,,,,,,,,,
2014,Reinforcement Learning in Cortical Networks.,Walter Senn,Jean-Pascal Pfister,,,,,,,,,,,,,
2014,Intraspinal Stimulation.,Michel Lemay,Simon F. Giszter,,,,,,,,,,,,,
2014,Peripheral Nerve Interface Applications: Neuropathic Pain.,Narendra Bhadra,,,,,,,,,,,,,,
2014,Bifurcations Dynamics of Single Neurons and Small Networks.,Amitabha Bose,,,,,,,,,,,,,,
2014,Bayesian Inference with Spiking Neurons.,Sophie Denève,,,,,,,,,,,,,,
2014,Forward and Inverse Problems of MEG/EEG.,Sylvain Baillet,,,,,,,,,,,,,,
2014,"Sensory Coding, Efficiency.",Franz Weber,Christian K. Machens,,,,,,,,,,,,,
