year,title,author1,citation
2014,Depth Estimation.,Reinhard Koch,2014Depth Estimation.Reinhard Koch
2014,Exploration: Simultaneous Localization and Mapping (SLAM).,Samunda Perera,2014Exploration: Simultaneous Localization and Mapping (SLAM).Samunda Perera
2014,Radiance.,Fabian Langguth,2014Radiance.Fabian Langguth
2014,Affordances and Action Recognition.,James Bonaiuto,2014Affordances and Action Recognition.James Bonaiuto
2014,"Camera Parameters (Intrinsic, Extrinsic).",Zhengyou Zhang,"2014Camera Parameters (Intrinsic, Extrinsic).Zhengyou Zhang"
2014,Planckian Locus.,Rajeev Ramanath,2014Planckian Locus.Rajeev Ramanath
2014,Statistical Independence.,Ying Nian Wu,2014Statistical Independence.Ying Nian Wu
2014,Factorization.,Hanno Ackermann,2014Factorization.Hanno Ackermann
2014,Visual Servoing.,François Chaumette,2014Visual Servoing.François Chaumette
2014,Affine Projection.,Zhengyou Zhang,2014Affine Projection.Zhengyou Zhang
2014,Statistical Shape Analysis.,Anuj Srivastava,2014Statistical Shape Analysis.Anuj Srivastava
2014,Corner Detection.,Michael Maire,2014Corner Detection.Michael Maire
2014,Dimensionality Reduction.,Eisaku Maeda,2014Dimensionality Reduction.Eisaku Maeda
2014,Polarized Light in Computer Vision.,Gary A. Atkinson,2014Polarized Light in Computer Vision.Gary A. Atkinson
2014,Cognitive System.,David Vernon,2014Cognitive System.David Vernon
2014,Differential Geometry of Surfaces in Three-Dimensional Euclidean Space.,Jan J. Koenderink,2014Differential Geometry of Surfaces in Three-Dimensional Euclidean Space.Jan J. Koenderink
2014,Mobile Observers.,Jan-Olof Eklundh,2014Mobile Observers.Jan-Olof Eklundh
2014,Image-Based Modeling.,Ping Tan,2014Image-Based Modeling.Ping Tan
2014,Inpainting.,Marcelo Bertalmío,2014Inpainting.Marcelo Bertalmío
2014,Image Enhancement and Restoration.,Guoshen Yu,2014Image Enhancement and Restoration.Guoshen Yu
2014,Euclidean Geometry.,Gunnar Sparr,2014Euclidean Geometry.Gunnar Sparr
2014,Linear Programming.,Kazuo Murota,2014Linear Programming.Kazuo Murota
2014,Image Decompositions.,Marshall F. Tappen,2014Image Decompositions.Marshall F. Tappen
2014,Shape from Silhouette.,David C. Schneider,2014Shape from Silhouette.David C. Schneider
2014,Sparse Coding.,John Wright 0001,2014Sparse Coding.John Wright 0001
2014,Catadioptric Camera.,Srikumar Ramalingam,2014Catadioptric Camera.Srikumar Ramalingam
2014,Object Detection.,Yali Amit,2014Object Detection.Yali Amit
2014,Gait Recognition.,Darko S. Matovski,2014Gait Recognition.Darko S. Matovski
2014,Calibration of a Non-single Viewpoint System.,Peter F. Sturm,2014Calibration of a Non-single Viewpoint System.Peter F. Sturm
2014,Maximum Likelihood Estimation.,Thomas Brox,2014Maximum Likelihood Estimation.Thomas Brox
2014,Perspective Transformation.,Zhengyou Zhang,2014Perspective Transformation.Zhengyou Zhang
2014,Occlusion Handling.,Rodrigo Benenson,2014Occlusion Handling.Rodrigo Benenson
2014,Shape from Specularities.,Silvio Savarese,2014Shape from Specularities.Silvio Savarese
2014,Discriminative Random Fields.,Sanjiv Kumar,2014Discriminative Random Fields.Sanjiv Kumar
2014,Gesture Recognition.,Matthew Turk 0001,2014Gesture Recognition.Matthew Turk 0001
2014,Kinematic Motion Models.,Christoph Bregler,2014Kinematic Motion Models.Christoph Bregler
2014,Fluorescent Lighting.,Stephen Lin 0001,2014Fluorescent Lighting.Stephen Lin 0001
2014,Field of View.,Srikumar Ramalingam,2014Field of View.Srikumar Ramalingam
2014,Image Plane.,Peter F. Sturm,2014Image Plane.Peter F. Sturm
2014,Deblurring.,Yu-Wing Tai,2014Deblurring.Yu-Wing Tai
2014,Video Mosaicing.,Zhigang Zhu,2014Video Mosaicing.Zhigang Zhu
2014,Intrinsics.,Zhengyou Zhang,2014Intrinsics.Zhengyou Zhang
2014,Bas-Relief Ambiguity.,Manmohan Chandraker,2014Bas-Relief Ambiguity.Manmohan Chandraker
2014,Semantic Image Segmentation.,Jamie Shotton,2014Semantic Image Segmentation.Jamie Shotton
2014,"Photon, Poisson Noise.",Samuel W. Hasinoff,"2014Photon, Poisson Noise.Samuel W. Hasinoff"
2014,Swendsen-Wang Cut Algorithm.,Adrian Barbu,2014Swendsen-Wang Cut Algorithm.Adrian Barbu
2014,Line Drawing Labeling.,Kokichi Sugihara,2014Line Drawing Labeling.Kokichi Sugihara
2014,Recovery of Reflectance Properties.,Jason Lawrence,2014Recovery of Reflectance Properties.Jason Lawrence
2014,Model-Based Object Recognition.,Min Sun 0001,2014Model-Based Object Recognition.Min Sun 0001
2014,Boundary Detection.,Xiaofeng Ren,2014Boundary Detection.Xiaofeng Ren
2014,"Geodesics, Distance Maps, and Curve Evolution.",Ron Kimmel,"2014Geodesics, Distance Maps, and Curve Evolution.Ron Kimmel"
2014,Bidirectional Texture Function and 3D Texture.,Kristin J. Dana,2014Bidirectional Texture Function and 3D Texture.Kristin J. Dana
2014,Blind Deconvolution.,Tom E. Bishop,2014Blind Deconvolution.Tom E. Bishop
2014,Geometric Calibration.,Zhengyou Zhang,2014Geometric Calibration.Zhengyou Zhang
2014,Digitization.,Peer Stelldinger,2014Digitization.Peer Stelldinger
2014,Computational Symmetry.,Yanxi Liu 0001,2014Computational Symmetry.Yanxi Liu 0001
2014,Affine Invariants.,Michael Werman,2014Affine Invariants.Michael Werman
2014,Lens Flare and Lens Glare.,Dikpal Reddy,2014Lens Flare and Lens Glare.Dikpal Reddy
2014,High-Performance Computing in Computer Vision.,Guna Seetharaman,2014High-Performance Computing in Computer Vision.Guna Seetharaman
2014,Compressive Sensing.,Aswin C. Sankaranarayanan,2014Compressive Sensing.Aswin C. Sankaranarayanan
2014,Shape from Shadows.,Pascal Mamassian,2014Shape from Shadows.Pascal Mamassian
2014,Affine Registration.,Kevin Köser,2014Affine Registration.Kevin Köser
2014,Many-to-Many Graph Matching.,M. Fatih Demirci,2014Many-to-Many Graph Matching.M. Fatih Demirci
2014,Calibration of Radiometric Falloff (Vignetting).,Stephen Lin 0001,2014Calibration of Radiometric Falloff (Vignetting).Stephen Lin 0001
2014,Transparent Layers.,Yanghai Tsin,2014Transparent Layers.Yanghai Tsin
2014,Expectation Maximization Algorithm.,Boris Flach,2014Expectation Maximization Algorithm.Boris Flach
2014,Matte Extraction.,Jiaya Jia,2014Matte Extraction.Jiaya Jia
2014,Rigid Registration.,Yonghuai Liu,2014Rigid Registration.Yonghuai Liu
2014,Data Augmentation.,Ying Nian Wu,2014Data Augmentation.Ying Nian Wu
2014,Camera Extrinsic Parameters.,Zhengyou Zhang,2014Camera Extrinsic Parameters.Zhengyou Zhang
2014,Geons.,Sven J. Dickinson,2014Geons.Sven J. Dickinson
2014,Shape from Scatter.,Mohit Gupta 0001,2014Shape from Scatter.Mohit Gupta 0001
2014,Cook-Torrance Model.,Abhijeet Ghosh,2014Cook-Torrance Model.Abhijeet Ghosh
2014,Dynamic Programming.,Boris Flach,2014Dynamic Programming.Boris Flach
2014,Camera Calibration.,Zhengyou Zhang,2014Camera Calibration.Zhengyou Zhang
2014,Algebraic Surface.,Bo Zheng,2014Algebraic Surface.Bo Zheng
2014,Visual Cortex Models for Object Recognition.,Tomaso A. Poggio,2014Visual Cortex Models for Object Recognition.Tomaso A. Poggio
2014,Projection.,Zhengyou Zhang,2014Projection.Zhengyou Zhang
2014,Appearance-Based Human Tracking.,Bohyung Han,2014Appearance-Based Human Tracking.Bohyung Han
2014,Appearance-Based Human Detection.,William Robson Schwartz,2014Appearance-Based Human Detection.William Robson Schwartz
2014,Image Stitching.,Matthew Brown 0001,2014Image Stitching.Matthew Brown 0001
2014,Wide Baseline Matching.,Tinne Tuytelaars,2014Wide Baseline Matching.Tinne Tuytelaars
2014,Video Retrieval.,Cees G. M. Snoek,2014Video Retrieval.Cees G. M. Snoek
2014,Ellipse Fitting.,Zhi-Yong Liu 0001,2014Ellipse Fitting.Zhi-Yong Liu 0001
2014,Epipolar Geometry.,Zhengyou Zhang,2014Epipolar Geometry.Zhengyou Zhang
2014,Numerical Methods in Curve Evolution Theory.,Peter Karasev,2014Numerical Methods in Curve Evolution Theory.Peter Karasev
2014,Essential Matrix.,Zhengyou Zhang,2014Essential Matrix.Zhengyou Zhang
2014,Optimal Estimation.,Kenichi Kanatani,2014Optimal Estimation.Kenichi Kanatani
2014,Curves in Euclidean Three-Space.,Jan J. Koenderink,2014Curves in Euclidean Three-Space.Jan J. Koenderink
2014,Asperity Scattering.,Sylvia C. Pont,2014Asperity Scattering.Sylvia C. Pont
2014,Eight-Point Algorithm.,Zhengyou Zhang,2014Eight-Point Algorithm.Zhengyou Zhang
2014,Parametric Surface.,Bo Zheng,2014Parametric Surface.Bo Zheng
2014,Depth Distortion.,Zhengyou Zhang,2014Depth Distortion.Zhengyou Zhang
2014,Phong Reflectance Model.,Ping Tan,2014Phong Reflectance Model.Ping Tan
2014,Camera Model.,Zhengyou Zhang,2014Camera Model.Zhengyou Zhang
2014,Denoising.,Francisco J. Estrada,2014Denoising.Francisco J. Estrada
2014,Human Pose Estimation.,Leonid Sigal,2014Human Pose Estimation.Leonid Sigal
2014,Omnidirectional Vision.,Peter F. Sturm,2014Omnidirectional Vision.Peter F. Sturm
2014,Variational Analysis.,Bastian Goldluecke,2014Variational Analysis.Bastian Goldluecke
2014,Fresnel Equations.,Daisuke Miyazaki,2014Fresnel Equations.Daisuke Miyazaki
2014,Standard Illuminants.,Rajeev Ramanath,2014Standard Illuminants.Rajeev Ramanath
2014,Edge Detection.,James H. Elder,2014Edge Detection.James H. Elder
2014,Data Fusion.,Ramanarayanan Viswanathan 0002,2014Data Fusion.Ramanarayanan Viswanathan 0002
2014,Occlusion Detection.,Rodrigo Benenson,2014Occlusion Detection.Rodrigo Benenson
2014,AdaBoost.,Paolo Favaro,2014AdaBoost.Paolo Favaro
2014,Eigenspace Methods.,Tomokazu Takahashi,2014Eigenspace Methods.Tomokazu Takahashi
2014,Calibration.,Zhengyou Zhang,2014Calibration.Zhengyou Zhang
2014,Interreflections.,Michael S. Langer,2014Interreflections.Michael S. Langer
2014,Diffuse Reflectance.,Sanjeev J. Koppal,2014Diffuse Reflectance.Sanjeev J. Koppal
2014,Projection Transformation.,Zhengyou Zhang,2014Projection Transformation.Zhengyou Zhang
2014,Swendsen-Wang Algorithm.,Adrian Barbu,2014Swendsen-Wang Algorithm.Adrian Barbu
2014,Parametric Curve.,Bo Zheng,2014Parametric Curve.Bo Zheng
2014,Situation Graph Trees.,Christian Micheloni,2014Situation Graph Trees.Christian Micheloni
2014,Change Detection.,Joseph L. Mundy,2014Change Detection.Joseph L. Mundy
2014,Diffusion Filtering.,Thomas Brox,2014Diffusion Filtering.Thomas Brox
2014,White Balance.,Rajeev Ramanath,2014White Balance.Rajeev Ramanath
2014,Epipolar Constraint.,Zhengyou Zhang,2014Epipolar Constraint.Zhengyou Zhang
2014,Oren-Nayar Reflectance Model.,Ping Tan,2014Oren-Nayar Reflectance Model.Ping Tan
2014,Optical Flow.,Thomas Brox,2014Optical Flow.Thomas Brox
2014,Visual Hull.,David C. Schneider,2014Visual Hull.David C. Schneider
2014,Dichromatic Reflection Model.,Shoji Tominaga,2014Dichromatic Reflection Model.Shoji Tominaga
2014,Interactive Segmentation.,Yuri Boykov,2014Interactive Segmentation.Yuri Boykov
2014,Generic Object Recognition.,Svetlana Lazebnik,2014Generic Object Recognition.Svetlana Lazebnik
2014,Perspective Camera.,Zhengyou Zhang,2014Perspective Camera.Zhengyou Zhang
2014,Plane Sweeping.,David Gallup,2014Plane Sweeping.David Gallup
2014,Splines.,Bo Zheng,2014Splines.Bo Zheng
2014,Isotropic Differential Geometry in Graph Spaces.,Jan J. Koenderink,2014Isotropic Differential Geometry in Graph Spaces.Jan J. Koenderink
2014,Irradiance.,Fabian Langguth,2014Irradiance.Fabian Langguth
2014,Lumigraph.,Michael F. Cohen,2014Lumigraph.Michael F. Cohen
2014,Defocus Blur.,Neel Joshi,2014Defocus Blur.Neel Joshi
2014,Penumbra and Umbra.,Rajeev Ramanath,2014Penumbra and Umbra.Rajeev Ramanath
2014,Pinhole Camera Model.,Peter F. Sturm,2014Pinhole Camera Model.Peter F. Sturm
2014,Subpixel Estimation.,Robert B. Fisher,2014Subpixel Estimation.Robert B. Fisher
2014,Three Dimensional Shape Descriptor.,Federico Tombari,2014Three Dimensional Shape Descriptor.Federico Tombari
2014,Evolution of Robotic Heads.,Michael R. M. Jenkin,2014Evolution of Robotic Heads.Michael R. M. Jenkin
2014,Kalman Filter.,Gregory F. Welch,2014Kalman Filter.Gregory F. Welch
2014,Semidefinite Programming.,Chunhua Shen,2014Semidefinite Programming.Chunhua Shen
2014,Retinex Theory.,Micah K. Johnson,2014Retinex Theory.Micah K. Johnson
2014,Dehazing and Defogging.,Robby T. Tan,2014Dehazing and Defogging.Robby T. Tan
2014,Geometric Algebra.,Leo Dorst,2014Geometric Algebra.Leo Dorst
2014,Obstacle Detection.,Larry H. Matthies,2014Obstacle Detection.Larry H. Matthies
2014,Spatiotemporal Reasoning.,David Young,2014Spatiotemporal Reasoning.David Young
2014,Algebraic Curve.,Bo Zheng,2014Algebraic Curve.Bo Zheng
2014,Retroreflection.,Sylvia C. Pont,2014Retroreflection.Sylvia C. Pont
2014,Center of Projection.,Srikumar Ramalingam,2014Center of Projection.Srikumar Ramalingam
2014,Fisher-Rao Metric.,Stephen J. Maybank,2014Fisher-Rao Metric.Stephen J. Maybank
2014,Inverse Compositional Algorithm.,Simon Baker,2014Inverse Compositional Algorithm.Simon Baker
2014,Sensor Fusion.,Pramod K. Varshney,2014Sensor Fusion.Pramod K. Varshney
2014,Multiview Stereo.,Sudipta N. Sinha,2014Multiview Stereo.Sudipta N. Sinha
2014,Focal Length.,Peter F. Sturm,2014Focal Length.Peter F. Sturm
2014,Polarizer.,Daisuke Miyazaki,2014Polarizer.Daisuke Miyazaki
2014,Multi-baseline Stereo.,David Gallup,2014Multi-baseline Stereo.David Gallup
2014,Three Dimensional View Integration.,Denis Laurendeau,2014Three Dimensional View Integration.Denis Laurendeau
2014,Photo-Consistency.,Yasutaka Furukawa,2014Photo-Consistency.Yasutaka Furukawa
2014,Reference Plane.,Zhengyou Zhang,2014Reference Plane.Zhengyou Zhang
2014,Activity Recognition.,Wanqing Li 0001,2014Activity Recognition.Wanqing Li 0001
2014,Underwater Effects.,Frank M. Caimi,2014Underwater Effects.Frank M. Caimi
2014,Variational Method.,Bastian Goldluecke,2014Variational Method.Bastian Goldluecke
2014,Weakly Supervised Learning.,Lorenzo Torresani,2014Weakly Supervised Learning.Lorenzo Torresani
2014,Radiometric Response Function.,Yasuyuki Matsushita,2014Radiometric Response Function.Yasuyuki Matsushita
2014,Multiplexed Illumination.,Marina Alterman,2014Multiplexed Illumination.Marina Alterman
2014,Descattering.,Tali Treibitz,2014Descattering.Tali Treibitz
2014,Motion Capture.,Nils Hasler,2014Motion Capture.Nils Hasler
2014,Active Stereo Vision.,Andrew Hogue,2014Active Stereo Vision.Andrew Hogue
2014,Omnidirectional Camera.,Davide Scaramuzza 0001,2014Omnidirectional Camera.Davide Scaramuzza 0001
2014,Robust Methods.,Peter Meer,2014Robust Methods.Peter Meer
2014,Plenoptic Function.,Shing-Chow Chan,2014Plenoptic Function.Shing-Chow Chan
2014,Incident Light Measurement.,Stephen Lin 0001,2014Incident Light Measurement.Stephen Lin 0001
2014,Camera Pose.,Zhengyou Zhang,2014Camera Pose.Zhengyou Zhang
2014,Image-Based Rendering.,Shing-Chow Chan,2014Image-Based Rendering.Shing-Chow Chan
2014,Linguistic Techniques for Event Recognition.,Vlad I. Morariu,2014Linguistic Techniques for Event Recognition.Vlad I. Morariu
2014,Face Modeling.,Zicheng Liu 0001,2014Face Modeling.Zicheng Liu 0001
2014,View and Rate-Invariant Human Action Recognition.,Vasu Parameswaran,2014View and Rate-Invariant Human Action Recognition.Vasu Parameswaran
2014,Color Similarity.,Takahiko Horiuchi,2014Color Similarity.Takahiko Horiuchi
2014,Hand-Eye Calibration.,Songde Ma,2014Hand-Eye Calibration.Songde Ma
2014,Blackbody Radiation.,Rajeev Ramanath,2014Blackbody Radiation.Rajeev Ramanath
2014,Active Sensor (Eye) Movement Control.,James J. Clark,2014Active Sensor (Eye) Movement Control.James J. Clark
2014,Curvature.,Takayuki Okatani,2014Curvature.Takayuki Okatani
2014,Photogrammetry.,Konrad Schindler,2014Photogrammetry.Konrad Schindler
2014,Viscosity Solution.,Fabio Camilli,2014Viscosity Solution.Fabio Camilli
2014,Total Variation.,Bastian Goldluecke,2014Total Variation.Bastian Goldluecke
2014,von Kries Hypothesis.,Rajeev Ramanath,2014von Kries Hypothesis.Rajeev Ramanath
2014,Stochastic Partial Differential Equations.,Annika Lang,2014Stochastic Partial Differential Equations.Annika Lang
2014,Gradient Vector Flow.,Chenyang Xu 0001,2014Gradient Vector Flow.Chenyang Xu 0001
2014,Rationale for Computational Vision.,Ruzena Bajcsy,2014Rationale for Computational Vision.Ruzena Bajcsy
2014,Radiometric Calibration.,Yasuyuki Matsushita,2014Radiometric Calibration.Yasuyuki Matsushita
2014,Pan-Tilt-Zoom (PTZ) Camera.,Sudipta N. Sinha,2014Pan-Tilt-Zoom (PTZ) Camera.Sudipta N. Sinha
2014,Extended Gaussian Image (EGI).,Sing Bing Kang,2014Extended Gaussian Image (EGI).Sing Bing Kang
2014,Opacity.,Ivo Ihrke,2014Opacity.Ivo Ihrke
2014,Calibration of Projective Cameras.,Zhengyou Zhang,2014Calibration of Projective Cameras.Zhengyou Zhang
2014,Animat Vision.,Dana H. Ballard,2014Animat Vision.Dana H. Ballard
2014,Object Class Recognition (Categorization).,Svetlana Lazebnik,2014Object Class Recognition (Categorization).Svetlana Lazebnik
2014,Color Constancy.,Marc Ebner,2014Color Constancy.Marc Ebner
2014,Prototype-Based Methods for Human Movement Modeling.,Zhe Lin 0001,2014Prototype-Based Methods for Human Movement Modeling.Zhe Lin 0001
2014,Polarization.,Gary A. Atkinson,2014Polarization.Gary A. Atkinson
2014,Optical Axis.,Peter F. Sturm,2014Optical Axis.Peter F. Sturm
2014,Principal Component Analysis (PCA).,Takio Kurita,2014Principal Component Analysis (PCA).Takio Kurita
2014,Reflectance Map.,Robert J. Woodham,2014Reflectance Map.Robert J. Woodham
2014,Feature Selection.,Rama Chellappa,2014Feature Selection.Rama Chellappa
2014,Trichromatic Theory.,Michael H. Brill,2014Trichromatic Theory.Michael H. Brill
2014,Weak Perspective Projection.,Zhengyou Zhang,2014Weak Perspective Projection.Zhengyou Zhang
2014,"Lens Distortion, Radial Distortion.",Visesh Chari,"2014Lens Distortion, Radial Distortion.Visesh Chari"
2014,Affine Camera.,Zhengyou Zhang,2014Affine Camera.Zhengyou Zhang
2014,Differential Invariants.,Isaac Weiss,2014Differential Invariants.Isaac Weiss
2014,"Illumination Estimation, Illuminant Estimation.",Stephen Lin 0001,"2014Illumination Estimation, Illuminant Estimation.Stephen Lin 0001"
2014,Chromaticity.,Michael H. Brill,2014Chromaticity.Michael H. Brill
2014,Calibration of Multi-camera Setups.,Jun-Sik Kim 0001,2014Calibration of Multi-camera Setups.Jun-Sik Kim 0001
2014,Population Encoding/Decoding.,Wilson Truccolo,2014Population Encoding/Decoding.Wilson Truccolo
2014,Vestibular Eye Movement Testing.,Ian S. Curthoys,2014Vestibular Eye Movement Testing.Ian S. Curthoys
2014,"Vestibular Prosthesis, Interface.",Chenkai Dai,"2014Vestibular Prosthesis, Interface.Chenkai Dai"
2014,Anatomy and Physiology of the Mammalian Auditory System.,Manuel S. Malmierca,2014Anatomy and Physiology of the Mammalian Auditory System.Manuel S. Malmierca
2014,"Signaling Pathways, Modeling of.",Jeanette Hellgren Kotaleski,"2014Signaling Pathways, Modeling of.Jeanette Hellgren Kotaleski"
2014,BrainInfo.,Douglas M. Bowden,2014BrainInfo.Douglas M. Bowden
2014,Biophysics of Adaptation in a Computational Model of the Leech T Neuron.,Raúl Guantes,2014Biophysics of Adaptation in a Computational Model of the Leech T Neuron.Raúl Guantes
2014,Physiome Repository.,Tommy Yu,2014Physiome Repository.Tommy Yu
2014,Synthetic Neuronal Morphology.,Benjamin Torben-Nielsen,2014Synthetic Neuronal Morphology.Benjamin Torben-Nielsen
2014,Multistability Arising from Synaptic Dynamics.,Amitabha Bose,2014Multistability Arising from Synaptic Dynamics.Amitabha Bose
2014,Central Vestibular Signal Processing.,Rebecca Lim,2014Central Vestibular Signal Processing.Rebecca Lim
2014,Metabotropic Receptors (G Protein-Coupled Receptors).,Tamara Kinzer-Ursem,2014Metabotropic Receptors (G Protein-Coupled Receptors).Tamara Kinzer-Ursem
2014,Amari Model.,Roland Potthast,2014Amari Model.Roland Potthast
2014,Retinal Neurophysiology.,John W. Morley,2014Retinal Neurophysiology.John W. Morley
2014,Brain Ischemia and Stroke.,Samuel A. Neymotin,2014Brain Ischemia and Stroke.Samuel A. Neymotin
2014,Invertebrate Pattern Generation: Overview.,Farzan Nadim,2014Invertebrate Pattern Generation: Overview.Farzan Nadim
2014,Local Field Potentials (LFP).,Alain Destexhe,2014Local Field Potentials (LFP).Alain Destexhe
2014,"Electrophysiology Analysis, Bayesian.",Jakob H. Macke,"2014Electrophysiology Analysis, Bayesian.Jakob H. Macke"
2014,Jansen-Rit Model.,Thomas R. Knösche,2014Jansen-Rit Model.Thomas R. Knösche
2014,Local Field Potential and Deep Brain Stimulation (DBS).,Manuela Rosa,2014Local Field Potential and Deep Brain Stimulation (DBS).Manuela Rosa
2014,Connectivity Analysis in Normal and Pathological Brains.,Claus C. Hilgetag,2014Connectivity Analysis in Normal and Pathological Brains.Claus C. Hilgetag
2014,Significance Evaluation.,Matthew T. Harrison,2014Significance Evaluation.Matthew T. Harrison
2014,NeuroML.,Sharon M. Crook,2014NeuroML.Sharon M. Crook
2014,Tactile Sensing in Insects.,Volker Dürr,2014Tactile Sensing in Insects.Volker Dürr
2014,Predictive Coding.,Michael W. Spratling,2014Predictive Coding.Michael W. Spratling
2014,Spinal Stimulation for Parkinson Treatment.,Romulo Fuentes,2014Spinal Stimulation for Parkinson Treatment.Romulo Fuentes
2014,Q10: The Effect of Temperature on Ion Channel Kinetics.,David C. Sterratt,2014Q10: The Effect of Temperature on Ion Channel Kinetics.David C. Sterratt
2014,Hebbian Learning.,Yoonsuck Choe,2014Hebbian Learning.Yoonsuck Choe
2014,Digital Filtering.,Roemer van der Meij,2014Digital Filtering.Roemer van der Meij
2014,Voltage-Clamp Technique.,Thomas Nowotny,2014Voltage-Clamp Technique.Thomas Nowotny
2014,Nernst-Planck Equation.,Reinoud Maex,2014Nernst-Planck Equation.Reinoud Maex
2014,Neuromorphic Engineering: Overview.,Sylvie Renaud,2014Neuromorphic Engineering: Overview.Sylvie Renaud
2014,"Bifurcations, Neural Population Models and.",Thomas R. Knösche,"2014Bifurcations, Neural Population Models and.Thomas R. Knösche"
2014,Functional Neuroscience: Cortical Control of Limb Prosthesis.,Amy L. Orsborn,2014Functional Neuroscience: Cortical Control of Limb Prosthesis.Amy L. Orsborn
2014,Accumulation of Evidence in Decision Making.,Alexander C. Huk,2014Accumulation of Evidence in Decision Making.Alexander C. Huk
2014,Synaptic Connectivity in Neural Population Models.,Viktor K. Jirsa,2014Synaptic Connectivity in Neural Population Models.Viktor K. Jirsa
2014,Cable Equation.,William R. Holmes,2014Cable Equation.William R. Holmes
2014,"Visual Prosthesis, Epiretinal Devices.",James D. Weiland,"2014Visual Prosthesis, Epiretinal Devices.James D. Weiland"
2014,"Brainstem Motoneurons, Models of.",Marc D. Binder,"2014Brainstem Motoneurons, Models of.Marc D. Binder"
2014,Stability and Homeostasis in Small Network Central Pattern Generators.,Jorge Golowasch,2014Stability and Homeostasis in Small Network Central Pattern Generators.Jorge Golowasch
2014,Functional Network Observations of Diseased Brain States.,Grant M. Fiddyment,2014Functional Network Observations of Diseased Brain States.Grant M. Fiddyment
2014,Computational Model-Based Development of Novel Stimulation Algorithms.,Oleksandr V. Popovych,2014Computational Model-Based Development of Novel Stimulation Algorithms.Oleksandr V. Popovych
2014,Pain Processing Pathway Models.,Steven A. Prescott,2014Pain Processing Pathway Models.Steven A. Prescott
